geo,time,kpi,population,trend,week_sin,week_cos,TikTok_media,TikTok_spend,Facebook_media,Facebook_spend,Google_Ads_media,Google_Ads_spend
national_geo,2018-01-07,9779.8,1.0,0.0,0.0,1.0,13528.1,13528.1,0.0,0.0,0.0,0.0
national_geo,2018-01-14,13245.19,1.0,0.005025125628140704,0.12053668025532305,0.992708874098054,0.0,0.0,5349.65,5349.65,2218.93,2218.93
national_geo,2018-01-21,12022.66,1.0,0.010050251256281407,0.23931566428755774,0.970941817426052,0.0,0.0,4235.86,4235.86,2046.96,2046.96
national_geo,2018-01-28,8846.95,1.0,0.01507537688442211,0.3546048870425356,0.9350162426854148,0.0,0.0,3562.21,3562.21,0.0,0.0
national_geo,2018-02-04,9797.07,1.0,0.020100502512562814,0.4647231720437685,0.8854560256532099,0.0,0.0,0.0,0.0,2187.29,2187.29
national_geo,2018-02-11,13527.65,1.0,0.02512562814070352,0.5680647467311558,0.8229838658936564,8045.44,8045.44,4310.55,4310.55,1992.98,1992.98
national_geo,2018-02-18,9635.43,1.0,0.03015075376884422,0.6631226582407952,0.7485107481711011,0.0,0.0,0.0,0.0,2253.02,2253.02
national_geo,2018-02-25,15355.11,1.0,0.035175879396984924,0.7485107481711011,0.6631226582407953,9697.29,9697.29,4478.81,4478.81,2042.3,2042.3
national_geo,2018-03-04,12199.37,1.0,0.04020100502512563,0.8229838658936564,0.5680647467311559,0.0,0.0,3156.93,3156.93,1859.02,1859.02
national_geo,2018-03-11,11368.23,1.0,0.04522613065326633,0.8854560256532099,0.4647231720437686,0.0,0.0,4522.03,4522.03,2135.99,2135.99
national_geo,2018-03-18,8640.44,1.0,0.05025125628140704,0.9350162426854148,0.35460488704253557,0.0,0.0,4520.34,4520.34,0.0,0.0
national_geo,2018-03-25,4960.26,1.0,0.05527638190954774,0.970941817426052,0.23931566428755804,0.0,0.0,0.0,0.0,0.0,0.0
national_geo,2018-04-01,12726.46,1.0,0.06030150753768844,0.992708874098054,0.120536680255323,11522.08,11522.08,5698.46,5698.46,0.0,0.0
national_geo,2018-04-08,11421.71,1.0,0.06532663316582915,1.0,-1.6081226496766366e-16,10243.35,10243.35,0.0,0.0,0.0,0.0
national_geo,2018-04-15,10875.31,1.0,0.07035175879396985,0.992708874098054,-0.12053668025532288,0.0,0.0,0.0,0.0,1839.37,1839.37
national_geo,2018-04-22,13048.08,1.0,0.07537688442211055,0.9709418174260521,-0.2393156642875575,10667.35,10667.35,0.0,0.0,1907.13,1907.13
national_geo,2018-04-29,10775.86,1.0,0.08040201005025126,0.9350162426854148,-0.35460488704253545,0.0,0.0,0.0,0.0,2204.36,2204.36
national_geo,2018-05-06,15013.62,1.0,0.08542713567839195,0.8854560256532099,-0.4647231720437685,9589.68,9589.68,5160.93,5160.93,1889.49,1889.49
national_geo,2018-05-13,14158.32,1.0,0.09045226130653267,0.8229838658936565,-0.5680647467311557,10626.14,10626.14,0.0,0.0,1922.63,1922.63
national_geo,2018-05-20,15918.14,1.0,0.09547738693467336,0.7485107481711013,-0.663122658240795,8291.81,8291.81,4605.15,4605.15,1897.94,1897.94
national_geo,2018-05-27,11128.75,1.0,0.10050251256281408,0.6631226582407952,-0.7485107481711012,0.0,0.0,0.0,0.0,2036.79,2036.79
national_geo,2018-06-03,12170.36,1.0,0.10552763819095477,0.5680647467311558,-0.8229838658936564,11307.24,11307.24,0.0,0.0,1922.9,1922.9
national_geo,2018-06-10,10134.7,1.0,0.11055276381909548,0.46472317204376906,-0.8854560256532096,0.0,0.0,0.0,0.0,1679.63,1679.63
national_geo,2018-06-17,11093.55,1.0,0.11557788944723618,0.35460488704253584,-0.9350162426854147,8515.67,8515.67,4006.88,4006.88,0.0,0.0
national_geo,2018-06-24,8170.63,1.0,0.12060301507537688,0.23931566428755768,-0.970941817426052,0.0,0.0,0.0,0.0,0.0,0.0
national_geo,2018-07-01,6542.71,1.0,0.12562814070351758,0.12053668025532308,-0.992708874098054,0.0,0.0,0.0,0.0,0.0,0.0
national_geo,2018-07-08,11325.8,1.0,0.1306532663316583,-3.216245299353273e-16,-1.0,0.0,0.0,5049.49,5049.49,2162.53,2162.53
national_geo,2018-07-15,7793.24,1.0,0.135678391959799,-0.12053668025532283,-0.992708874098054,0.0,0.0,0.0,0.0,2117.45,2117.45
national_geo,2018-07-22,15010.94,1.0,0.1407035175879397,-0.23931566428755743,-0.9709418174260521,13065.56,13065.56,5643.31,5643.31,1898.93,1898.93
national_geo,2018-07-29,10634.31,1.0,0.1457286432160804,-0.3546048870425356,-0.9350162426854148,0.0,0.0,3429.38,3429.38,0.0,0.0
